adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/90PDnoWXUIJQCwujSJ8bfcCva0J.jpg,"[36, 18]",72976,en,Lincoln,"The revealing story of the 16th US President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",11.769,/oosQMP9sh9LF2xR2eKcQ1iSscWM.jpg,2012-11-09,Lincoln,False,6.9,3225
False,/bJvVLVohSuv5e5mSA6ia1hbZvAi.jpg,"[18, 28, 80]",18533,en,Bronson,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",11.758,/o5JaAtcvjRJz3utEaptk0L77FjM.jpg,2008-10-09,Bronson,False,7.0,2067
False,/snUdoOV9oQCLYFBKk99POiYpWvj.jpg,"[28, 12, 80, 53]",2207,en,16 Blocks,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",11.756,/sRns3OuMcZTOs4OfVfKtL9JiaE2.jpg,2006-03-01,16 Blocks,False,6.4,1605
False,/bWN6ZBr6nJNEuHigL9fQWhZ78hd.jpg,"[18, 36]",9918,en,Glory Road,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.",11.745,/bGRSV5tStxDNPRLCewnOeeiZzrY.jpg,2006-01-13,Glory Road,False,7.5,579
False,/rprg34i9MfIRAJdBcjAWaV7JXRe.jpg,"[10749, 12, 28, 36]",38543,en,Ironclad,"In the year 1215, the rebel barons of England have forced their despised King John to put his royal seal on the Magna Carta, a seminal document that upheld the rights of free men. Yet within months of pledging himself to the great charter, the King reneged on his word and assembled a mercenary army on the south coast of England with the intention of bringing the barons and the country back under his tyrannical rule. Barring his way stood the mighty Rochester castle, a place that would become the symbol of the rebel's momentous struggle for justice and freedom.",11.739,/7ACf5GwwzmzuTFzPLEg9ZagvXUa.jpg,2011-03-03,Ironclad,False,6.1,592
False,/uqIxIixR1pvVnJU1hB7kt9yC79S.jpg,"[35, 10749]",14844,en,Chasing Liberty,"The President's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of Secret Service agents while traveling in Europe. She falls in love with a handsome British stranger, who also happens to be working undercover for her father.",11.735,/7qzvS9QKkiDcz1K8EY9Y6ZXkUeD.jpg,2004-01-01,Chasing Liberty,False,6.2,527
False,/c8kjrMDDKrlpikQTgvNGLBZh5V8.jpg,"[35, 10749]",67660,en,Think Like a Man,"The balance of power in four couples’ relationships is upset when the women start using the advice in Steve Harvey’s book, Act Like A Lady, Think Like A Man, to get more of what they want from their men. When the men realize that the women have gotten a hold of their relationship “playbook,” they decide that the best defense is a good offense and come up with a plan to use this information to their advantage.",11.733,/kfIrKVPDzXJDBzPnFEuoatlaZPW.jpg,2012-04-16,Think Like a Man,False,6.9,715
False,/iDGfPcu2CV66BCRk31uOcfB3IvU.jpg,"[18, 80, 10749]",913,en,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",11.729,/5yqs1MVlqdIg1DY5adC5jFx3d7j.jpg,1999-08-06,The Thomas Crown Affair,False,6.7,931
False,/qfQGDBUuILDkRL5CPa897NAqcTZ.jpg,"[28, 80, 18, 53, 9648]",9333,en,Last Man Standing,"John Smith is a mysterious stranger who is drawn into a vicious war between two Prohibition-era gangs. In a dangerous game, he switches allegiances from one to another, offering his services to the highest bidder. As the death toll mounts, Smith takes the law into his own hands in a deadly race to stay alive.",11.727,/uPashBUcbeFafdVgnHM2LL92jFB.jpg,1996-09-20,Last Man Standing,False,6.3,677
False,/phq6jQq2nkuoKwsPKpDWUPSyHzr.jpg,[18],412202,en,Handsome Devil,A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,11.722,/xlHOWQFgcGV4KcZKLzYBZ21gjGT.jpg,2017-02-15,Handsome Devil,False,7.1,569
False,/1OnXivHQ6TH0Xtn77YpHznIhKwl.jpg,"[16, 35, 10751]",531,en,The Wrong Trousers,"Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal.",11.719,/mV8SDTjkxrDxu0a0egvFz1lRPU7.jpg,1993-12-17,The Wrong Trousers,False,7.7,738
False,/5n2jz145P1CRdPfA296MmEZF1sQ.jpg,[18],512263,en,Honey Boy,"The story of a child star attempting to mend his relationship with his law-breaking, alcohol-abusing father over the course of a decade, loosely based on Shia LaBeouf’s life.",11.718,/3BZ2rBn31kWER45ZMj7OTe9keMm.jpg,2019-11-08,Honey Boy,False,7.2,513
False,/lfIPoDYfgPo8rNHDLX3zaT38WBJ.jpg,[18],254172,en,Fathers and Daughters,"A Pulitzer-winning writer grapples with being a widower and father after a mental breakdown, while, 27 years later, his grown daughter struggles to forge connections of her own.",11.715,/fgzp7gGea27hN5d26mgKtZJQgX7.jpg,2015-10-01,Fathers and Daughters,False,7.1,855
False,/cXQH2u7wUIX1eoIdEj51kHXoWhX.jpg,"[35, 80]",100,en,"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,11.713,/8kSerJrhrJWKLk1LViesGcnrUPE.jpg,1998-08-28,"Lock, Stock and Two Smoking Barrels",False,8.2,5451
False,/axg73mVxiZcE9Pzynu2uj1TYIgj.jpg,"[35, 10402, 18]",6575,en,Walk Hard: The Dewey Cox Story,"Following a childhood tragedy, Dewey Cox follows a long and winding road to music stardom. Dewey perseveres through changing musical styles, an addiction to nearly every drug known and bouts of uncontrollable rage.",11.71,/vqIEXsBPWqkuzwtRLSeSFZGYpjN.jpg,2007-12-21,Walk Hard: The Dewey Cox Story,False,6.6,534
False,/uDzecWucDpRHN77RTabU1KGBfQR.jpg,"[35, 10751]",38843,en,Ramona and Beezus,"Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.",11.709,/nBdwz67TKj9HDwpSxnCKIkXCQkp.jpg,2010-07-23,Ramona and Beezus,False,6.5,683
False,/3cdfnihGSrMiQWzmVPaEs3p2Mp1.jpg,"[53, 28, 10749, 878, 12]",10003,en,The Saint,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",11.709,/dS1VfyHsDjlmtuhMPFvtAqKcN8M.jpg,1997-04-03,The Saint,False,6.1,903
